,city_name,Latitude,Longitude,max_temp(fahrenheit),Cloudiness,Humidity(%),Wind
0,White Cliffs,-30.85,143.0833,79.07,76,38,2.11
1,Tibooburra,-29.4334,142.0167,82.544,8,39,2.26
2,Wanaaring,-29.7001,144.15,82.67,0,36,2.68
3,Bjurholm,63.9303,19.2137,32.0,90,94,1.5
4,Vaennaes,63.9068,19.7571,32.0,90,93,1.5
5,Vannasby,63.9333,19.8333,32.0,90,93,1.5
6,Vindeln,64.2018,19.7194,32.0,90,93,1.5
7,Mullsjo,63.7,19.7,32.0,90,81,1.5
8,Nordmaling,63.5685,19.5024,32.0,90,100,2.1
9,Hoernefors,63.6231,19.9086,32.0,90,81,1.5
10,Roback,63.8116,20.1833,32.0,90,97,1.5
11,Hälsingfors,64.55,18.7,26.6,76,92,1.11
12,Umeå Kommun,63.8299,20.2548,32.0,90,97,1.5
13,Umea,63.8284,20.2597,32.0,90,97,1.5
14,Ersmark,63.8833,20.3167,32.0,90,97,1.5
15,Ön,63.8079,20.2866,32.0,90,97,1.5
16,Berghem,63.8285,20.3041,32.0,90,97,1.5
17,Gidböle,63.4,19.05,30.2,90,100,2.1
18,Lycksele,64.5954,18.6735,26.6,76,92,1.11
19,Obbola,63.7,20.3167,32.0,90,97,1.5
20,Holmsund,63.706,20.3641,32.0,90,97,1.5
21,Husum,63.3333,19.1667,30.2,90,100,2.1
22,Lövön,63.7167,20.3833,32.0,90,97,1.5
23,Ratanada,26.281,73.0293,68.324,0,40,0.26
24,Jodhpur,26.2867,73.03,68.324,0,40,0.26
25,Fedūsar,26.3333,73.0333,68.324,0,40,0.26
26,Pali,25.7667,73.3333,71.564,0,35,3.18
27,Samdari,25.8167,72.5833,70.43,20,39,1.46
28,Sojat,25.9167,73.6667,72.86,0,32,3.68
29,Pipar,26.3856,73.5378,67.69399999999999,0,40,1.36
30,Siwana,25.6333,72.4167,70.43,20,39,1.46
31,Bilara,26.1792,73.7056,67.69399999999999,0,40,1.36
32,Takhatgarh,25.3333,73.0,73.4,8,35,3.93
33,Rani,25.3503,73.3089,73.4,8,35,3.93
34,Balotra,25.8333,72.2333,72.68,36,41,1.68
35,Jalor,25.35,72.6167,74.48,20,39,3.71
36,Sheoganj,25.15,73.0667,73.4,8,35,3.93
37,Bali,25.1833,73.2833,73.4,8,35,3.93
38,Jaitaran,26.2031,73.9364,67.69399999999999,0,40,1.36
39,Desuri,25.2833,73.5667,67.064,0,40,2.91
40,State of Rājasthān,26.0,74.0,72.86,0,32,3.68
41,Sadri,25.1833,73.4333,73.4,8,35,3.93
42,Nimaj,26.1497,74.0,67.69399999999999,0,40,1.36
43,Yongfu,25.004,109.9819,75.2,90,73,4.0
44,Qingtang,25.2106,110.0478,75.2,90,73,4.0
45,Lingui,25.245,110.2044,75.2,90,73,4.0
46,Guilin,25.2819,110.2864,75.2,90,73,4.0
47,Yangshuo,24.7808,110.4897,75.2,90,73,4.0
48,Lingchuan,25.4095,110.3228,75.2,90,73,4.0
49,Luzhai,24.4975,109.7331,69.44,92,80,2.81
50,Rongan,25.2333,109.3833,75.2,90,73,4.0
51,Licheng,24.5065,110.3892,70.88,80,82,1.28
52,Rongshui,25.0667,109.25,68.45,80,82,3.38
53,Pingle,24.6452,110.6431,70.88,80,82,1.28
54,Luorong,24.4058,109.6086,69.44,92,80,2.81
55,Gongcheng,24.8333,110.8167,70.52,80,69,1.81
56,Dabu,24.6674,109.2355,69.314,92,90,4.73
57,Longsheng,25.7936,110.0092,75.2,90,73,4.0
58,Xingan,25.6196,110.6425,68.774,48,72,1.33
59,Guyi,25.7778,109.6003,71.744,48,64,2.56
60,Jinxiu,24.1372,110.1801,68.0,56,82,1.71
61,Cushijiang,25.0814,110.9703,71.564,80,65,1.28
62,Liuzhou,24.3126,109.3892,69.314,92,90,4.73
63,Verkhoyansk,67.5447,133.385,9.95,76,80,2.16
64,Batagay,67.6333,134.6333,12.829999999999998,56,77,3.26
65,Owaka,-46.4501,169.6667,62.69,0,55,9.36
66,Balclutha,-46.2339,169.75,62.69,0,55,9.36
67,Otara,-46.6334,168.8833,59.09,76,92,13.36
68,Milton,-46.1209,169.9694,62.69,0,55,9.36
69,Clutha District,-46.0389,169.6062,62.69,0,55,9.36
70,Wyndham,-46.3334,168.85,62.78,0,61,8.11
